#    Layer           MIN          MAX         MEAN          STD
#  ---------------------------------------------------------------
        1            0.0000     314.5700      28.0961      50.8753
        2            0.0000     236.3100      38.0065      49.7053
        3            0.0000     613.5500      73.1491      98.0552
        4            0.0000     699.5900     100.2721      97.0193
        5            0.0000     738.4800     111.9615     103.8253
        6            0.0000     739.6800     102.5428      96.4555
        7            0.0000     536.0700      75.8472      74.8254
        8            0.0000     328.8600      28.9838      33.3079
        9            0.0000     540.1500      23.0792      43.5952
       10            0.0000     115.0700       7.9064      12.7671
       11            0.0000     221.4600      15.4187      25.4969
       12            0.0000     222.1400      16.8159      28.7021
       13            0.0000     233.1100      23.7968      38.8003
       14            0.0000     345.7200      42.5743      43.8095
       15            0.0000     863.7100      79.4331     110.3772
       16            0.0000     892.2300     105.0013     107.1317
       17            0.0000     858.1700      95.0021      99.8189
       18            0.0000     857.0600     105.0387     101.3945
       19            0.0000     439.9200      72.0381      69.2919
       20            0.0000     325.5600      36.5990      48.8690
       21            0.0000     372.5400      34.7663      56.7036
       22            0.0000     241.2500      22.6137      42.7294
       23            0.0000     417.6500      25.9557      62.1327
       24            0.0000     115.4300      11.7162      16.3843
#  ===============================================================
